tier,time_ms,center_ms,binary_value
None,29600,29650,0
None,29700,29750,0
None,29800,29850,0
None,29900,29950,0
None,30000,30050,0
None,30100,30150,0
None,30200,30250,0
None,30300,30350,0
None,30400,30450,0
None,30500,30550,0
None,30600,30650,0
None,30700,30750,0
None,30800,30850,0
None,30900,30950,0
None,31000,31050,0
None,31100,31150,0
None,31200,31250,0
None,31300,31350,0
None,31400,31450,0
None,31500,31550,0
None,31600,31650,0
None,31700,31750,0
None,31800,31850,0
None,31900,31950,0
None,32000,32050,0
None,32100,32150,0
None,32200,32250,0
None,32300,32350,0
None,32400,32450,0
None,32500,32550,0
None,32600,32650,0
None,32700,32750,0
None,32800,32850,0
None,32900,32950,0
None,33000,33050,0
None,33100,33150,0
None,33200,33250,0
None,33300,33350,0
None,33400,33450,0
None,33500,33550,0
None,33600,33650,0
None,33700,33750,0
None,33800,33850,0
None,33900,33950,0
RA,34000,34050,1
RA,34100,34150,1
RA,34200,34250,1
Both,34300,34350,1
Both,34400,34450,1
Both,34500,34550,1
Both,34600,34650,1
Both,34700,34750,1
LA,34800,34850,1
LA,34900,34950,1
None,35000,35050,0
None,35100,35150,0
None,35200,35250,0
None,35300,35350,0
None,35400,35450,0
None,35500,35550,0
None,35600,35650,0
None,35700,35750,0
None,35800,35850,0
None,35900,35950,0
None,36000,36050,0
None,36100,36150,0
None,36200,36250,0
None,36300,36350,0
None,36400,36450,0
None,36500,36550,0
None,36600,36650,0
None,36700,36750,0
None,36800,36850,0
None,36900,36950,0
None,37000,37050,0
None,37100,37150,0
None,37200,37250,0
None,37300,37350,0
None,37400,37450,0
Both,37500,37550,1
Both,37600,37650,1
Both,37700,37750,1
Both,37800,37850,1
Both,37900,37950,1
Both,38000,38050,1
Both,38100,38150,1
Both,38200,38250,1
Both,38300,38350,1
Both,38400,38450,1
Both,38500,38550,1
Both,38600,38650,1
Both,38700,38750,1
Both,38800,38850,1
Both,38900,38950,1
Both,39000,39050,1
Both,39100,39150,1
Both,39200,39250,1
Both,39300,39350,1
Both,39400,39450,1
Both,39500,39550,1
Both,39600,39650,1
Both,39700,39750,1
Both,39800,39850,1
Both,39900,39950,1
Both,40000,40050,1
