time_ms,center_ms,binary_value
40000,40050,0
40100,40150,0
40200,40250,0
40300,40350,0
40400,40450,0
40500,40550,0
40600,40650,0
40700,40750,0
40800,40850,0
40900,40950,0
41000,41050,0
41100,41150,0
41200,41250,0
41300,41350,0
41400,41450,0
41500,41550,0
41600,41650,0
41700,41750,0
41800,41850,0
41900,41950,0
42000,42050,0
42100,42150,0
42200,42250,0
42300,42350,0
42400,42450,0
42500,42550,0
42600,42650,0
42700,42750,0
42800,42850,0
42900,42950,0
43000,43050,0
43100,43150,0
43200,43250,0
43300,43350,0
43400,43450,0
43500,43550,0
43600,43650,0
43700,43750,0
43800,43850,0
43900,43950,0
44000,44050,0
44100,44150,0
44200,44250,0
44300,44350,0
44400,44450,0
44500,44550,0
44600,44650,0
44700,44750,0
44800,44850,0
44900,44950,0
45000,45050,0
45100,45150,0
45200,45250,0
45300,45350,0
45400,45450,0
45500,45550,0
45600,45650,0
45700,45750,0
45800,45850,0
45900,45950,0
46000,46050,0
46100,46150,0
46200,46250,0
46300,46350,0
46400,46450,0
46500,46550,0
46600,46650,0
46700,46750,0
46800,46850,0
46900,46950,0
47000,47050,0
47100,47150,0
47200,47250,0
47300,47350,0
47400,47450,0
47500,47550,0
47600,47650,0
47700,47750,0
47800,47850,0
47900,47950,0
48000,48050,0
48100,48150,0
48200,48250,0
48300,48350,0
48400,48450,0
48500,48550,0
48600,48650,0
48700,48750,0
48800,48850,0
48900,48950,0
49000,49050,0
49100,49150,0
49200,49250,0
49300,49350,0
49400,49450,0
49500,49550,0
49600,49650,0
49700,49750,0
49800,49850,0
49900,49950,0
50000,50050,0
50100,50150,0
50200,50250,0
50300,50350,0
50400,50450,0
50500,50550,0
50600,50650,0
50700,50750,0
50800,50850,0
50900,50950,0
51000,51050,0
51100,51150,0
51200,51250,0
51300,51350,0
51400,51450,0
51500,51550,0
51600,51650,0
51700,51750,0
51800,51850,0
51900,51950,0
52000,52050,0
52100,52150,0
52200,52250,0
52300,52350,0
52400,52450,0
52500,52550,0
52600,52650,0
52700,52750,0
